from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9445990,9445986,2,240,,
9445990,9445988,2,420,,
9446004,9446005,2,240,,
9446004,9446006,2,240,,
9446005,9446004,2,240,,
9446005,9446006,2,240,,
9446006,9446004,2,240,,
9446006,9446005,2,240,,
9446033,9446034,2,780,,
9446033,9446035,2,1200,,
9446033,9446036,2,840,,
9446034,9446033,2,780,,
9446034,9446035,2,780,,
9446034,9446036,2,780,,
9446035,9446033,2,1200,,
9446035,9446034,2,780,,
9446035,9446036,2,720,,
9446036,9446033,2,840,,
9446036,9446034,2,780,,
9446036,9446035,2,720,,
9446067,9446411,2,1200,,
9446103,9446104,2,300,,
9446104,9446103,2,300,,
9446106,9446108,2,180,,
9446108,9446106,2,180,,
